pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
1198,토큰 통신을 위한 선택적 대형언어모델 기반 텍스트 교정 방법,inproceedings,이승훈2026,"이승훈, 박지홍, 최진호, 박현철",,,,2026-06-17,0000-00-00,"KICS, 하계종합학술발표회, 제주, 대한민국, 2026",,,,,,,,,,,,,,,,,,,,,,,1,0,forthcoming,2026-05-27 16:04:00,2026-05-27 16:04:00,,0
1199,Exploiting Near-field Effect with Spatially Separated Sub-arrays for Upper Mid-band ISAC,inproceedings,M.Hwang2026,"M.Hwang, H.Park, N. Gonzalez-Preclic",,,,2026-05-24,0000-00-00,"IEEE International Conference on Communications (ICC) 2026, Glascow, Scotland",,,,,,,,,,,,,,,,,,,,,,,1,0,published,2026-05-29 14:49:03,2026-05-29 14:49:03,,0
1196,하이브리드 빔포밍 시스템에서 PAPR 감소를 위한 예약 톤 설계 기법,inproceedings,정두식2026,"정두식, 남현우, 김현우, 박현철",,,,2026-04-15,0000-00-00,"KICS, 통신정보 합동학술대회, 여수, 대한민국, 2026",,,,,,,,,,,,,,,,,,,,,,,1,0,published,2026-04-07 22:14:21,2026-05-27 16:05:07,,0
1194,사용자 전력 상한 대비 오프로딩 지연시간 및 드롭아웃 성능 비교,inproceedings,이승훈2025,"이승훈, 박현철",,2383-8302,,2025-11-19,0000-00-00,"KICS, 추계종합학술발표회, 경주, 대한민국, 2025",,"KICS, 추계종합학술발표회, 경주, 2025",,,3-4,,,,,,,,,,"본 논문은 셀프리(cell-free) 모바일 엣지 컴퓨팅(MEC) 환경에서 마감시간 제약 하의 작업 오프로딩, 연결, 빔포밍, 연산 자원할당을 통합적으로 최적화하는 프레임워크를 바탕으로, 사용자 전력 상한 변화가 드롭아웃 비율과 활성 사용자 평균 지연에 미치는 영향을 정량적으로 분석한다. 우리는 가중계수를 통해 드롭아웃 최소화와 지연 최소화 간의 상충관계를 동시에 조절하며, 업링크 무선·연산·오버헤드 요소를 동시에 반영한다. 시뮬레이션 결과, 사용자 전력이 15 dBm 으로 낮아지는 저전력 구간에서도 제안 기법은 두 기준 기법 대비 더 낮은 평균 지연과 드롭아웃 비율을 달성함을 확인하였다.",,,,,,,,0,0,published,2026-03-13 13:17:26,2026-03-13 13:25:13,,0
1184,Semantic Packet Aggregation and Repeated Transmission for Text-to-Image Generation,inproceedings,Lee2025,"S. Lee, J. Park, J. Choi, H. Park",,,,2025-06-08,0000-00-00,,,,,,,,,,,,"IEEE International Conference on Communications (ICC) 2025, Montreal, Canada",,,,,,,,,,,,1,0,published,2025-03-11 16:04:20,2026-01-19 14:16:50,,0
1185,Robust ISAC Beamformer Utilizing Angular Distributions of Target and Clutters,inproceedings,Kim2025,"H. Kim, J. Jee, H. Park",,,,2025-06-08,0000-00-00,,,,,,,,,,,,"IEEE International Conference on Communications (ICC) 2025 Workshops, Montreal, Canada",,,,,,,,,,,,1,0,published,2025-03-11 17:00:58,2026-01-19 14:15:02,,0
1189,Semantic Packet Aggregation for Token Communication via Genetic Beam Search,inproceedings,Lee2025c,"S. Lee, J. Park, J. Choi, and H. Park",,,,2025-05-25,0000-00-00,,,,,,,,,,,,"2025 IEEE Workshop on Signal Processing and Artificial Intelligence for Wireless Communications (SPAWC 2025), Surrey, UK",,,,,,,,,,,,1,0,published,2025-05-26 14:27:17,2026-01-19 14:26:10,,0
1126,비가우시안 각 확산을 가지는 확장 표적에 대한 근거리장 센싱,inproceedings,정두식2025,"정두식, 김현우, 황민영, 박현철",,,,2025-02-05,0000-00-00,,,,,,,,,,,,"KICS, 동계종합학술발표회, 용평, 대한민국",,,,,,,,,,,,1,0,published,2025-02-18 14:30:29,2025-02-18 14:30:29,,0
1190,다중입출력 하향링크 채널 추정을 위한 다중 모달리티 결합기술,inproceedings,권진만2024,"권진만, 지정주, 박현철",,2383-8302,,2024-11-20,0000-00-00,,,,85,,528-529,,,,,,"KICS, 추계종합학술발표회, 경주, 대한민국",,,,,,,,,,,,0,0,published,2025-10-15 13:30:23,2025-10-15 13:35:25,,0
1123,OTFS 레이다 알고리즘의 성능 평가,inproceedings,한준희2024,"한준희, 지정주, 박현철",,,,2024-04-26,0000-00-00,,,,,,,,,,,,"JCCI, 통신정보합동학술대회, 부산, 대한민국",,,,,,,,,,,,1,0,published,2024-05-07 20:47:16,2024-05-07 20:53:39,,0
1124,Chip간 variation이 존재하는 NAND 플래시 메모리 시스템을 위한 unsupervised context adaptation 기반 메타 학습 기술,inproceedings,최인혁2024,"최인혁, 황민영, 지정주, 박현철",,,,2024-04-26,0000-00-00,,,,,,,,,,,,"JCCI, 통신정보합동학술대회, 부산, 대한민국",,,,,,,,,,,,1,0,published,2024-05-07 20:48:09,2024-05-07 20:52:57,,0
1117,Integrated Localization and Communication in 3GPP Industrial Enviroments,inproceedings,Kwon2023b,"G. Kwon, Z. Liu, A. Conti, H. Park, M. Win",,,,2024-04-19,0000-00-00,,,,,,,,,,,,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP 2024), Seoul, Korea,",,,,,,,,,,,10.1109/ICASSP48485.2024.10447698,1,0,published,2023-12-14 12:32:54,2024-11-21 15:26:45,,0
1114,Impact of Imperfect Channel State Information on Achievable Rate With Zero-Forcing Precoding in Massive MIMO Systems for Multi-Numerology,inproceedings,Son2023,"H. Son, G. Kwon, H. Park, J. Park",,,,2023-12-25,0000-00-00,,,,,,,,,,,,"IEEE Military Communications Conference (MILCOM 2023), Boston, USA,",,,,,,,,,,,10.1109/MILCOM58377.2023.10356334,1,0,published,2023-10-04 11:23:34,2024-01-03 10:18:56,,0
1119,UAV 릴레이를 이용한 3차원 ISAC 네트워크를 위한 전력 할당 기술,inproceedings,김현우2023b,"김현우, 황민영, 지정주, 박현철",,,,2023-11-24,0000-00-00,,,,,,,,,,,,"KICS, 추계종합학술대회, 경주, 대한민국",,,,,,,,,,,,1,0,published,2024-01-12 13:18:47,2024-01-12 13:23:20,,0
